,station,date,latitude,longitude,elevation,name,prcp,snwd,tmax,tmin,tavg,tavg_attributes,city name,cou
16026,GME00126910,2020-02-16,48.2444,11.5539,484.0,"OBERSCHLEISSHEIM, GM",0.0,0.0,,,,,Munich,DEU
16027,GME00126910,2020-02-17,48.2444,11.5539,484.0,"OBERSCHLEISSHEIM, GM",11.0,0.0,,,,,Munich,DEU
16028,GME00126910,2020-02-18,48.2444,11.5539,484.0,"OBERSCHLEISSHEIM, GM",0.0,0.0,,,,,Munich,DEU
16029,GME00126910,2020-02-19,48.2444,11.5539,484.0,"OBERSCHLEISSHEIM, GM",6.0,0.0,,,,,Munich,DEU
16030,GME00126910,2020-02-20,48.2444,11.5539,484.0,"OBERSCHLEISSHEIM, GM",14.0,0.0,,,,,Munich,DEU
16031,GME00126910,2020-02-21,48.2444,11.5539,484.0,"OBERSCHLEISSHEIM, GM",0.0,0.0,,,,,Munich,DEU
16032,GME00126910,2020-02-22,48.2444,11.5539,484.0,"OBERSCHLEISSHEIM, GM",12.0,0.0,,,,,Munich,DEU
16033,GME00126910,2020-02-23,48.2444,11.5539,484.0,"OBERSCHLEISSHEIM, GM",105.0,0.0,,,,,Munich,DEU
16034,GME00126910,2020-02-24,48.2444,11.5539,484.0,"OBERSCHLEISSHEIM, GM",5.0,0.0,,,,,Munich,DEU
16035,GME00126910,2020-02-25,48.2444,11.5539,484.0,"OBERSCHLEISSHEIM, GM",3.0,0.0,,,,,Munich,DEU
16036,GME00126910,2020-02-26,48.2444,11.5539,484.0,"OBERSCHLEISSHEIM, GM",13.0,0.0,,,,,Munich,DEU
16037,GME00126910,2020-02-27,48.2444,11.5539,484.0,"OBERSCHLEISSHEIM, GM",53.0,10.0,,,,,Munich,DEU
16038,GME00126910,2020-02-28,48.2444,11.5539,484.0,"OBERSCHLEISSHEIM, GM",1.0,10.0,,,,,Munich,DEU
16039,GME00126910,2020-02-29,48.2444,11.5539,484.0,"OBERSCHLEISSHEIM, GM",17.0,0.0,,,,,Munich,DEU
